date;souscriptions_creees;souscriptions_validees_02juil;souscriptions_refusees_02juil;validations_du_jour;prescriptions_creees;prescriptions_validees_02juil;eer_demarres_du_jour;leads_utm;visites_nova;visites_portail;ca_souscriptions_creees_eur;ca_prescriptions_creees_eur
2026-05-03;182;82;26;6;0;0;0;174;12742;34838;100309.18;0.00
2026-05-04;210;78;44;30;94;46;10;228;23680;31790;114729.68;49109.78
2026-05-05;314;124;42;38;346;172;54;310;26720;20818;170946.12;199730.14
2026-05-06;272;84;48;62;340;142;86;322;41476;20954;144810.69;176619.24
2026-05-07;298;112;40;70;436;198;118;332;47014;28568;164580.43;233127.78
2026-05-08;242;124;30;84;334;130;116;286;40914;17240;139713.15;195088.16
2026-05-09;232;92;40;92;146;58;88;234;49616;27562;128369.56;77621.01
2026-05-10;112;40;8;76;0;0;60;118;75728;42942;61628.20;0.00
2026-05-11;190;78;24;56;74;34;36;182;59658;22698;107659.61;41839.51
2026-05-12;282;112;46;36;372;158;86;300;58144;14404;153442.19;202109.01
2026-05-13;306;140;42;110;370;140;104;284;100578;24104;162714.24;205858.63
2026-05-14;334;124;54;92;436;176;128;296;86950;15570;184252.83;236485.72
2026-05-15;332;144;54;92;394;180;140;362;136536;23370;182546.11;231410.38
2026-05-16;200;78;32;124;164;62;110;182;73732;21802;116658.48;95550.43
2026-05-17;144;66;20;88;0;0;78;122;102330;18532;81013.60;0.00
2026-05-18;248;100;40;84;98;36;58;172;104740;19152;143485.45;49794.77
2026-05-19;334;142;48;100;460;210;100;374;95236;22634;180165.85;261185.23
2026-05-20;414;172;50;124;332;130;124;432;130280;18464;226478.33;193157.84
2026-05-21;380;146;42;106;370;134;118;332;105762;15900;198944.38;210734.51
2026-05-22;274;104;56;94;294;132;130;318;114988;20324;156985.77;161694.85
2026-05-23;202;62;46;126;158;62;110;202;116220;22064;110487.85;85346.46
2026-05-24;150;62;28;106;2;0;80;140;99080;18726;83619.35;1449.49
2026-05-25;292;124;46;116;78;38;64;258;107492;15754;160763.02;48322.83
2026-05-26;376;152;56;112;434;176;114;360;102524;15740;203850.85;241455.76
2026-05-27;388;164;54;114;346;134;150;268;98228;19510;218974.24;198345.62
2026-05-28;374;168;44;114;300;114;124;440;64940;15372;206194.96;164304.75
2026-05-29;356;146;72;152;404;156;158;340;55988;12552;198181.63;229247.07
2026-05-30;186;76;24;120;132;44;94;236;61014;14516;105161.11;78367.75
2026-05-31;176;72;32;136;0;0;72;176;69728;14272;95311.60;0.00
2026-06-01;244;106;38;108;118;64;80;234;73276;17676;138003.72;64009.53
2026-06-02;296;140;46;104;350;156;114;428;70016;20140;165621.37;186718.42
2026-06-03;384;140;52;138;412;162;164;326;73748;17494;212763.38;233111.44
2026-06-04;490;192;82;106;314;126;164;444;69622;17660;265301.49;169922.32
2026-06-05;428;174;42;126;346;136;176;436;86042;25688;238057.02;187767.78
2026-06-06;314;132;54;132;216;74;140;316;92680;23398;174147.97;126589.45
2026-06-07;162;58;30;174;0;0;126;122;82558;17902;89053.40;0.00
2026-06-08;254;98;36;130;0;0;62;234;92358;18594;143020.86;0.00
2026-06-09;436;188;52;88;314;128;140;446;96754;20432;239933.62;172592.14
2026-06-10;340;136;44;160;262;86;144;386;56514;13938;191215.50;151974.56
2026-06-11;288;112;44;110;366;130;146;256;30624;13048;169821.89;202259.90
2026-06-12;254;92;30;154;284;90;174;314;25916;15884;140133.55;151171.68
2026-06-13;144;38;24;106;148;30;118;184;20178;18714;76064.72;77288.67
2026-06-14;126;32;26;92;0;0;82;132;18694;25212;69623.65;0.00
2026-06-15;264;110;26;70;74;22;86;256;26104;18896;144895.85;44215.92
2026-06-16;326;122;52;92;284;96;122;346;30542;12772;176513.77;150646.48
2026-06-17;434;172;52;100;258;88;158;400;33100;19896;248744.71;146777.33
2026-06-18;276;126;34;130;330;102;126;352;25878;19666;157091.55;184413.76
2026-06-19;350;136;40;150;316;86;166;306;28568;16478;188179.28;173119.79
2026-06-20;208;80;28;126;138;38;128;198;27066;16536;108068.85;77536.97
2026-06-21;170;58;28;126;0;0;92;178;26064;14268;100065.99;0.00
2026-06-22;274;124;28;86;64;28;76;278;35644;18798;148851.98;32976.23
2026-06-23;376;136;54;130;346;106;124;354;32264;13486;210564.16;191281.36
2026-06-24;308;104;46;134;296;68;118;314;33624;14572;173447.36;156913.67
2026-06-25;394;132;72;134;274;78;148;438;29752;15850;210641.96;149880.11
2026-06-26;260;86;40;130;234;68;112;260;21628;13800;142927.36;130154.29
2026-06-27;184;56;32;138;90;28;132;154;21344;13856;95651.61;50528.18
2026-06-28;122;36;20;122;0;0;76;120;14270;14002;67139.25;0.00
2026-06-29;218;60;20;84;82;18;82;188;25284;11930;119908.15;49122.74
2026-06-30;328;80;24;90;316;54;120;434;25500;14238;185831.51;178602.47
2026-07-01;362;42;34;116;274;16;150;342;32594;11884;193623.39;143480.14
2026-07-02;322;22;2;142;286;14;134;322;35276;11564;176676.11;151873.50
