Code agence;Statut;Création;Onboarding;Code_Contact;Valeur
06792;EER non démarré;09/05/2026;—;1000000000;261.22
06792;EER non démarré;09/05/2026;—;1000000001;628.06
03706;EER non démarré;09/05/2026;—;1000000010;876.37
03706;EER non démarré;09/05/2026;—;1000000011;407.27
00438;EER non démarré;09/05/2026;—;1000000020;461.20
00438;EER non démarré;09/05/2026;—;1000000021;511.48
06867;EER non démarré;09/05/2026;—;1000000030;287.32
06867;EER non démarré;09/05/2026;—;1000000031;345.83
07861;EER non démarré;09/05/2026;—;1000000040;180.90
07861;EER non démarré;09/05/2026;—;1000000041;145.29
06111;EER non démarré;09/05/2026;—;1000000050;951.82
06111;EER non démarré;09/05/2026;—;1000000051;389.83
06184;EER non démarré;09/05/2026;—;1000000060;186.85
06184;EER non démarré;09/05/2026;—;1000000061;182.83
09238;EER non démarré;09/05/2026;—;1000000070;872.87
09238;EER non démarré;09/05/2026;—;1000000071;999.72
03940;EER non démarré;09/05/2026;—;1000000080;222.67
03940;EER non démarré;09/05/2026;—;1000000081;948.20
02367;EER non démarré;09/05/2026;—;1000000090;444.51
02367;EER non démarré;09/05/2026;—;1000000091;443.49
06744;EER à valider;09/05/2026;8caf7057;1000000100;462.12
06744;EER à valider;09/05/2026;ae91ad93;1000000101;495.02
05954;EER non démarré;09/05/2026;—;1000000110;886.85
05954;EER non démarré;09/05/2026;—;1000000111;700.60
05522;EER non démarré;09/05/2026;—;1000000120;324.56
05522;EER non démarré;09/05/2026;—;1000000121;834.11
00789;EER non démarré;09/05/2026;—;1000000130;648.48
00789;EER non démarré;09/05/2026;—;1000000131;413.48
01036;EER non démarré;09/05/2026;—;1000000140;309.99
01036;EER non démarré;09/05/2026;—;1000000141;645.08
08421;EER non démarré;09/05/2026;—;1000000150;630.50
08421;EER non démarré;09/05/2026;—;1000000151;960.53
04955;EER à valider;09/05/2026;6e9aeaf0;1000000160;535.39
04955;EER à valider;09/05/2026;d058c64d;1000000161;975.65
