Numéro;Date de création;Responsable;Statut;Étape en cours;Valeur
1;07/06/2026 23:41:51;;Souscription non démarrée;Parcours non démarré;249.31
2;07/06/2026 23:41:51;;Souscription non démarrée;Parcours non démarré;707.73
3;07/06/2026 23:30:14;;Souscription non démarrée;Parcours non démarré;301.47
4;07/06/2026 23:30:14;;Souscription non démarrée;Parcours non démarré;491.29
5;07/06/2026 22:54:37;;Souscription en cours;Choix de l'offre et livraison;712.72
6;07/06/2026 22:54:37;;Souscription en cours;Choix de l'offre et livraison;320.59
7;07/06/2026 22:54:30;;Souscription en cours;Coordonnées personnelles;291.61
8;07/06/2026 22:54:30;;Souscription en cours;Coordonnées personnelles;246.99
9;07/06/2026 22:51:00;;Souscription en cours;Synchronisation référentiel personne NOVA;946.61
10;07/06/2026 22:51:00;;Souscription en cours;Synchronisation référentiel personne NOVA;369.55
11;07/06/2026 22:33:13;;Souscription en cours;Signature Contrat;252.80
12;07/06/2026 22:33:13;;Souscription en cours;Signature Contrat;771.91
13;07/06/2026 20:59:45;;Souscription en cours;Coordonnées personnelles;398.71
14;07/06/2026 20:59:45;;Souscription en cours;Coordonnées personnelles;554.81
15;07/06/2026 20:12:03;;Souscription en cours;Coordonnées personnelles;994.19
16;07/06/2026 20:12:03;;Souscription en cours;Coordonnées personnelles;658.27
17;07/06/2026 19:29:55;;Souscription en cours;Choix de l'offre et livraison;166.50
18;07/06/2026 19:29:55;;Souscription en cours;Choix de l'offre et livraison;406.02
19;07/06/2026 19:22:12;;Souscription en cours;Coordonnées personnelles;699.99
20;07/06/2026 19:22:12;;Souscription en cours;Coordonnées personnelles;785.50
21;07/06/2026 19:09:13;;Souscription en cours;Choix de l'offre et livraison;185.37
22;07/06/2026 19:09:13;;Souscription en cours;Choix de l'offre et livraison;866.95
23;07/06/2026 18:44:08;;Souscription en cours;Coordonnées personnelles;260.86
24;07/06/2026 18:44:08;;Souscription en cours;Coordonnées personnelles;353.94
25;07/06/2026 18:01:58;;Souscription en cours;Coordonnées personnelles;831.39
26;07/06/2026 18:01:58;;Souscription en cours;Coordonnées personnelles;952.99
27;07/06/2026 17:53:33;;Souscription en cours;Signature Contrat;605.77
28;07/06/2026 17:53:33;;Souscription en cours;Signature Contrat;614.96
29;07/06/2026 17:34:29;;Souscription en cours;Coordonnées personnelles;810.01
30;07/06/2026 17:34:29;;Souscription en cours;Coordonnées personnelles;323.61
31;07/06/2026 17:25:23;;Souscription non démarrée;Parcours non démarré;354.80
32;07/06/2026 17:25:23;;Souscription non démarrée;Parcours non démarré;417.16
33;07/06/2026 17:09:41;;Souscription en cours;Coordonnées personnelles;246.42
34;07/06/2026 17:09:41;;Souscription en cours;Coordonnées personnelles;129.22
35;07/06/2026 17:09:05;;Souscription en cours;Vérification d'identité;335.39
36;07/06/2026 17:09:05;;Souscription en cours;Vérification d'identité;589.06
37;07/06/2026 17:06:11;;Souscription non démarrée;Parcours non démarré;652.56
38;07/06/2026 17:06:11;;Souscription non démarrée;Parcours non démarré;889.02
39;07/06/2026 16:48:08;;Souscription en cours;Choix de l'offre et livraison;319.05
40;07/06/2026 16:48:08;;Souscription en cours;Choix de l'offre et livraison;133.63
41;07/06/2026 16:47:35;;Souscription en cours;Vérification d'identité;816.96
42;07/06/2026 16:47:35;;Souscription en cours;Vérification d'identité;813.66
43;07/06/2026 16:43:23;;Souscription en cours;Coordonnées personnelles;142.47
44;07/06/2026 16:43:23;;Souscription en cours;Coordonnées personnelles;149.76
45;07/06/2026 16:20:33;;Dossier validé;Parcours terminé;651.88
46;07/06/2026 16:20:33;;Dossier validé;Parcours terminé;276.89
47;07/06/2026 16:12:29;;Souscription non démarrée;Parcours non démarré;977.52
48;07/06/2026 16:12:29;;Souscription non démarrée;Parcours non démarré;485.99
49;07/06/2026 16:02:39;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;495.36
50;07/06/2026 16:02:39;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;482.67
51;07/06/2026 16:02:39;;Souscription en cours;Vérification d'identité;977.21
52;07/06/2026 16:02:39;;Souscription en cours;Vérification d'identité;382.96
53;07/06/2026 15:21:43;;Souscription en cours;Coordonnées personnelles;252.95
54;07/06/2026 15:21:43;;Souscription en cours;Coordonnées personnelles;903.82
55;07/06/2026 15:16:59;;Souscription en cours;Choix de l'offre et livraison;810.17
56;07/06/2026 15:16:59;;Souscription en cours;Choix de l'offre et livraison;869.15
57;07/06/2026 15:13:48;;Souscription en cours;Coordonnées personnelles;162.37
58;07/06/2026 15:13:48;;Souscription en cours;Coordonnées personnelles;383.98
59;07/06/2026 15:08:44;;Souscription en cours;Coordonnées personnelles;453.29
60;07/06/2026 15:08:44;;Souscription en cours;Coordonnées personnelles;682.15
61;07/06/2026 15:04:30;;Souscription en cours;Coordonnées personnelles;205.61
62;07/06/2026 15:04:30;;Souscription en cours;Coordonnées personnelles;146.39
63;07/06/2026 15:03:28;;Souscription en cours;Signature Contrat;663.90
64;07/06/2026 15:03:28;;Souscription en cours;Signature Contrat;571.80
65;07/06/2026 15:01:08;;Souscription en cours;Choix de l'offre et livraison;589.25
66;07/06/2026 15:01:08;;Souscription en cours;Choix de l'offre et livraison;975.16
67;07/06/2026 14:56:03;;Souscription en cours;Coordonnées personnelles;658.44
68;07/06/2026 14:56:03;;Souscription en cours;Coordonnées personnelles;329.24
69;07/06/2026 14:50:44;;Souscription en cours;Vérification d'identité;471.85
70;07/06/2026 14:50:44;;Souscription en cours;Vérification d'identité;537.26
71;07/06/2026 14:46:47;;Souscription en cours;Informations complémentaires (Etablissements, etc.);872.49
72;07/06/2026 14:46:47;;Souscription en cours;Informations complémentaires (Etablissements, etc.);621.46
73;07/06/2026 14:38:49;;Souscription en cours;Coordonnées personnelles;637.38
74;07/06/2026 14:38:49;;Souscription en cours;Coordonnées personnelles;522.32
75;07/06/2026 14:23:56;;Souscription en cours;Informations complémentaires (Etablissements, etc.);192.39
76;07/06/2026 14:23:56;;Souscription en cours;Informations complémentaires (Etablissements, etc.);312.39
77;07/06/2026 14:19:56;;Souscription en cours;Vérification d'identité;168.98
78;07/06/2026 14:19:56;;Souscription en cours;Vérification d'identité;388.04
79;07/06/2026 14:11:09;;Souscription en cours;Choix de l'offre et livraison;198.53
80;07/06/2026 14:11:09;;Souscription en cours;Choix de l'offre et livraison;756.70
81;07/06/2026 13:53:36;;Souscription en cours;Coordonnées personnelles;348.16
82;07/06/2026 13:53:36;;Souscription en cours;Coordonnées personnelles;144.57
83;07/06/2026 13:16:30;;Souscription en cours;Coordonnées personnelles;783.50
84;07/06/2026 13:16:30;;Souscription en cours;Coordonnées personnelles;924.48
85;07/06/2026 13:03:28;;Souscription en cours;Synchronisation référentiel personne NOVA;681.64
86;07/06/2026 13:03:28;;Souscription en cours;Synchronisation référentiel personne NOVA;852.35
87;07/06/2026 13:00:39;;Souscription en cours;Coordonnées personnelles;382.15
88;07/06/2026 13:00:39;;Souscription en cours;Coordonnées personnelles;932.72
89;07/06/2026 12:45:48;;Souscription non démarrée;Parcours non démarré;441.38
90;07/06/2026 12:45:48;;Souscription non démarrée;Parcours non démarré;281.21
91;07/06/2026 12:36:36;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;547.54
92;07/06/2026 12:36:36;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;869.97
93;07/06/2026 12:32:27;;Dossier validé;Parcours terminé;878.30
94;07/06/2026 12:32:27;;Dossier validé;Parcours terminé;247.58
95;07/06/2026 12:28:42;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;498.79
96;07/06/2026 12:28:42;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;961.48
97;07/06/2026 12:23:46;;Souscription en cours;Coordonnées personnelles;882.10
98;07/06/2026 12:23:46;;Souscription en cours;Coordonnées personnelles;487.68
99;07/06/2026 11:55:01;;Souscription en cours;Choix de l'offre et livraison;727.88
100;07/06/2026 11:55:01;;Souscription en cours;Choix de l'offre et livraison;393.97
101;07/06/2026 11:47:43;;Souscription en cours;Choix de l'offre et livraison;494.24
102;07/06/2026 11:47:43;;Souscription en cours;Choix de l'offre et livraison;997.23
103;07/06/2026 11:46:55;;Souscription en cours;Choix de l'offre et livraison;111.26
104;07/06/2026 11:46:55;;Souscription en cours;Choix de l'offre et livraison;658.17
105;07/06/2026 11:46:06;;Souscription en cours;Vérification d'identité;907.95
106;07/06/2026 11:46:06;;Souscription en cours;Vérification d'identité;482.29
107;07/06/2026 11:43:17;;Souscription en cours;Coordonnées personnelles;976.83
108;07/06/2026 11:43:17;;Souscription en cours;Coordonnées personnelles;136.62
109;07/06/2026 11:36:01;;Souscription en cours;Coordonnées personnelles;832.54
110;07/06/2026 11:36:01;;Souscription en cours;Coordonnées personnelles;783.28
111;07/06/2026 11:28:39;;Souscription en cours;Signature Contrat;489.03
112;07/06/2026 11:28:39;;Souscription en cours;Signature Contrat;132.06
113;07/06/2026 11:27:33;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;854.97
114;07/06/2026 11:27:33;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;599.94
115;07/06/2026 11:16:40;;Souscription en cours;Coordonnées personnelles;603.08
116;07/06/2026 11:16:40;;Souscription en cours;Coordonnées personnelles;456.73
117;07/06/2026 11:16:18;;Souscription en cours;Vérification d'identité;126.68
118;07/06/2026 11:16:18;;Souscription en cours;Vérification d'identité;317.61
119;07/06/2026 11:14:55;;Souscription en cours;Coordonnées personnelles;688.77
120;07/06/2026 11:14:55;;Souscription en cours;Coordonnées personnelles;808.88
121;07/06/2026 11:07:49;;Souscription en cours;Coordonnées personnelles;194.43
122;07/06/2026 11:07:49;;Souscription en cours;Coordonnées personnelles;983.49
123;07/06/2026 11:04:40;;Souscription en cours;Coordonnées personnelles;176.51
124;07/06/2026 11:04:40;;Souscription en cours;Coordonnées personnelles;414.75
125;07/06/2026 10:56:03;;Souscription en cours;Coordonnées personnelles;184.39
126;07/06/2026 10:56:03;;Souscription en cours;Coordonnées personnelles;911.26
127;07/06/2026 10:27:35;;Souscription en cours;Synchronisation référentiel personne NOVA;740.71
128;07/06/2026 10:27:35;;Souscription en cours;Synchronisation référentiel personne NOVA;995.27
129;07/06/2026 10:24:08;;Souscription en cours;Choix de l'offre et livraison;845.23
130;07/06/2026 10:24:08;;Souscription en cours;Choix de l'offre et livraison;615.73
131;07/06/2026 10:17:52;;Souscription non démarrée;Parcours non démarré;498.71
132;07/06/2026 10:17:52;;Souscription non démarrée;Parcours non démarré;264.88
133;07/06/2026 10:15:19;;Dossier validé;Parcours terminé;260.13
134;07/06/2026 10:15:19;;Dossier validé;Parcours terminé;626.90
135;07/06/2026 10:15:16;;Souscription en cours;Coordonnées personnelles;776.44
136;07/06/2026 10:15:16;;Souscription en cours;Coordonnées personnelles;941.42
137;07/06/2026 10:14:08;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);395.85
138;07/06/2026 10:14:08;;Souscription en cours;Informations complémentaires (CA, Profession, etc.);906.41
139;07/06/2026 10:00:41;;Souscription en cours;Coordonnées personnelles;661.95
140;07/06/2026 10:00:41;;Souscription en cours;Coordonnées personnelles;556.17
141;07/06/2026 09:25:24;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;136.36
142;07/06/2026 09:25:24;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;455.20
143;07/06/2026 09:03:14;;Souscription en cours;Coordonnées personnelles;278.66
144;07/06/2026 09:03:14;;Souscription en cours;Coordonnées personnelles;593.12
145;07/06/2026 08:53:37;;Souscription en cours;Coordonnées personnelles;820.48
146;07/06/2026 08:53:37;;Souscription en cours;Coordonnées personnelles;891.50
147;07/06/2026 08:22:06;;Souscription en cours;Coordonnées personnelles;495.47
148;07/06/2026 08:22:06;;Souscription en cours;Coordonnées personnelles;676.34
149;07/06/2026 07:44:34;;Souscription en cours;Choix de l'offre et livraison;175.32
150;07/06/2026 07:44:34;;Souscription en cours;Choix de l'offre et livraison;859.01
151;07/06/2026 07:30:10;;Souscription en cours;Vérification d'identité;205.34
152;07/06/2026 07:30:10;;Souscription en cours;Vérification d'identité;636.78
153;07/06/2026 04:52:16;;Souscription en cours;Coordonnées personnelles;829.95
154;07/06/2026 04:52:16;;Souscription en cours;Coordonnées personnelles;460.57
155;07/06/2026 03:59:26;;Souscription en cours;Signature Contrat;857.20
156;07/06/2026 03:59:26;;Souscription en cours;Signature Contrat;622.40
157;07/06/2026 02:30:19;;Souscription en cours;Vérification d'identité;726.86
158;07/06/2026 02:30:19;;Souscription en cours;Vérification d'identité;292.57
159;07/06/2026 01:40:01;;Souscription en cours;Coordonnées personnelles;763.26
160;07/06/2026 01:40:01;;Souscription en cours;Coordonnées personnelles;417.58
161;07/06/2026 01:06:34;;Dossier validé;Parcours terminé;357.85
162;07/06/2026 01:06:34;;Dossier validé;Parcours terminé;635.82
163;06/06/2026 23:54:43;Manon LEFEBVRE;Dossier validé;Parcours terminé;830.41
164;06/06/2026 23:54:43;Manon LEFEBVRE;Dossier validé;Parcours terminé;439.17
165;06/06/2026 23:08:33;;Souscription en cours;Vérification d'identité;191.54
166;06/06/2026 23:08:33;;Souscription en cours;Vérification d'identité;620.73
167;06/06/2026 22:55:25;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;768.18
168;06/06/2026 22:55:25;;En attente d'analyse Agent - Dossier avec erreurs;Signature Contrat;119.49
169;06/06/2026 22:46:16;;Dossier validé;Parcours terminé;677.70
